
,,,,,,,รายงานสภาพน้ำท่า ภาคกลาง(ชัยนาท),
,,,,ศูนย์อุทกวิทยาชลประทานภาคกลาง(ชัยนาท) สำนักบริหารจัดการน้ำและอุทกวิทยา กรมชลประทาน,
,,,,,,,วันที่ 1 - 7 กันยายน 2564,

,,,,,,,,สภาพน้ำท่า(วันที่) เวลา 6.00 น.,

ลำดับ,สถานี,ลุ่มน้ำ,อำเภอ,จังหวัด,ระดับตลิ่ง(ม.) | ความจุลำน้ำ(ลบ.ม./วินาที),พ. 1 ก.ย.,พฤ. 2 ก.ย.,ศ. 3 ก.ย.,ส. 4 ก.ย.,อา. 5 ก.ย.,จ. 6 ก.ย.,อ. 7 ก.ย.,เฉลี่ย,กราฟ,ร้อยละของความจุ,แนวโน้ม,
1,P.17,ปิง,บรรพตพิสัย,นครสวรรค์,39.80,36.00,35.64,35.52,35.71,35.81,35.97,35.86,35.79,<a id="btn_347" class="btn btn-primary btn-sm showGraph">กราฟ</a>,14.08,,
,,,,,2990.00,479.00,343.00,307.00,367.00,402.00,466.00,421.00,397.86,,,,
2,N.67,น่าน,ชุมแสง,นครสวรรค์,28.30,20.65,20.99,21.20,21.46,21.72,21.94,22.03,21.43,<a id="btn_345" class="btn btn-primary btn-sm showGraph">กราฟ</a>,26.28,,
,,,,,1579.00,281.00,310.00,329.00,354.00,381.00,405.00,415.00,353.57,,,,
3,C.2,เจ้าพระยา,เมืองนครสวรรค์,นครสวรรค์,26.20,19.20,19.23,19.21,19.36,19.61,19.89,20.02,19.50,<a id="btn_315" class="btn btn-primary btn-sm showGraph">กราฟ</a>,27.38,,
,,,,,3590.00,712.00,723.00,716.00,763.00,841.00,936.00,983.00,810.57,,,,
4,C.13,เจ้าพระยา,สรรพยา,ชัยนาท,ระดับเหนือเขื่อน-ม.,15.72,16.29,16.50,16.50,16.50,16.50,16.50,16.36,<a id="btn_319" class="btn btn-primary btn-sm showGraph">กราฟ</a>,24.65,,
,,,,,16.34,5.31,5.91,6.85,8.38,8.73,9.05,9.37,7.66,,,,
,,,,,2840.00,60.00,110.00,205.00,494.00,563.00,633.00,700.00,395.00,,,,
5,C.3,เจ้าพระยา,เมืองสิงห์บุรี,สิงห์บุรี,13.40,1.66,2.00,2.51,3.99,4.73,5.24,5.71,3.69,<a id="btn_316" class="btn btn-primary btn-sm showGraph">กราฟ</a>,22.24,,
,,,,,2900.00,**,**,**,347.00,466.00,556.00,645.00,503.50,,,,
6,C.7A,เจ้าพระยา,เมืองอ่างทอง,อ่างทอง,10.00,0.99,1.05,1.25,1.40,2.11,2.48,2.78,1.72,<a id="btn_318" class="btn btn-primary btn-sm showGraph">กราฟ</a>,19.18,,
,,,,,2800.00,**,**,**,233.00,384.00,467.00,537.00,405.25,,,,
7,C.35,เจ้าพระยา,พระนครศรีอยุธยา,พระนครศรีอยุธยา,4.58,0.76,0.84,0.95,0.88,1.38,1.47,1.53,1.12,<a id="btn_325" class="btn btn-primary btn-sm showGraph">กราฟ</a>,35.37,,
,,,,,1179.00,**,**,**,**,**,**,417.00,417.00,,,,
8,C.36,เจ้าพระยา,บางบาล,พระนครศรีอยุธยา,4.00,0.48,0.52,0.70,0.73,1.28,1.54,1.72,1.00,<a id="btn_326" class="btn btn-primary btn-sm showGraph">กราฟ</a>,35.00,,
,,,,,420.00,**,**,**,**,**,**,147.00,147.00,,,,
9,C.37,เจ้าพระยา,บางบาล,พระนครศรีอยุธยา,3.80,0.53,0.57,0.69,0.47,1.09,1.27,1.23,0.84,<a id="btn_327" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,148.00,**,**,**,**,**,**,**,,,,,
10,C.29A,เจ้าพระยา,บางไทร,พระนครศรีอยุธยา,3.40,0.47,0.59,0.70,0.53,0.88,0.89,0.84,0.70,<a id="btn_323" class="btn btn-primary btn-sm showGraph">กราฟ</a>,23.69,,
,,,,,3500.00,579.00,458.00,412.00,525.00,662.00,725.00,829.00,598.57,,,,
,,,,,ปริมาณน้ำเฉลี่ยรายวัน-ลบ.ม./วิ,60.00,72.00,74.00,86.00,129.00,194.00,291.00,129.43,,,,
11,C.30,เจ้าพระยา,ห้วยคต,อุทัยธานี,108.30,101.45,101.60,101.45,101.55,101.55,101.50,101.50,101.51,<a id="btn_324" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,830.00,*,*,*,*,*,*,*,,,,,
12,Ct.5A,สะแกกรัง,ขาณุวรลักษบุรี,กำแพงเพชร,106.86,106.49,104.62,104.64,106.25,105.01,104.56,104.73,105.19,<a id="btn_339" class="btn btn-primary btn-sm showGraph">กราฟ</a>,17.52,,
,,,,,234.00,173.00,37.00,38.00,143.00,52.00,36.00,41.00,74.29,,,,
13,Ct.4,สะแกกรัง,ลาดยาว,นครสวรรค์,71.00,69.04,69.32,69.25,69.06,69.25,68.88,68.44,69.03,<a id="btn_338" class="btn btn-primary btn-sm showGraph">กราฟ</a>,6.55,,
,,,,,168.00,28.00,41.00,37.00,28.00,37.00,22.00,11.00,29.14,,,,
14,Ct.7,สะแกกรัง,แม่เปิน,นครสวรรค์,104.88,101.05,101.05,101.05,101.05,101.05,101.05,101.05,101.05,<a id="btn_340" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
