
,,,,,,,รายงานสภาพน้ำท่า ภาคกลาง(ชัยนาท),
,,,,ศูนย์อุทกวิทยาชลประทานภาคกลาง(ชัยนาท) สำนักบริหารจัดการน้ำและอุทกวิทยา กรมชลประทาน,
,,,,,,,วันที่ 24 - 30 กันยายน 2564,

,,,,,,,,สภาพน้ำท่า(วันที่) เวลา 6.00 น.,

ลำดับ,สถานี,ลุ่มน้ำ,อำเภอ,จังหวัด,ระดับตลิ่ง(ม.) | ความจุลำน้ำ(ลบ.ม./วินาที),ศ. 24 ก.ย.,ส. 25 ก.ย.,อา. 26 ก.ย.,จ. 27 ก.ย.,อ. 28 ก.ย.,พ. 29 ก.ย.,พฤ. 30 ก.ย.,เฉลี่ย,กราฟ,ร้อยละของความจุ,แนวโน้ม,
16,Ct.19,สะแกกรัง,เมืองอุทัยธานี,อุทัยธานี,24.35,21.46,21.79,22.37,23.09,23.37,23.39,23.21,22.67,<a id="btn_343" class="btn btn-primary btn-sm showGraph">กราฟ</a>,77.06,ระดับน้ำทรงตัว,
,,,,,510.00,181.00,229.00,322.00,382.00,408.00,410.00,393.00,332.14,,,,
17,Ct.2A,สะแกกรัง,เมืองอุทัยธานี,อุทัยธานี,21.34,18.52,18.76,19.13,19.49,19.67,19.79,19.87,19.32,<a id="btn_337" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,ระดับน้ำทรงตัว,
,,,,,616.00,*,*,*,*,*,*,*,,,,,
18,S.43,ป่าสัก,ชัยบาดาล,ลพบุรี,51.90,46.65,47.07,49.72,52.99,53.08,52.39,51.72,50.52,<a id="btn_357" class="btn btn-primary btn-sm showGraph">กราฟ</a>,94.08,ระดับน้ำทรงตัว,
,,,,,980.00,343.00,368.00,*,*,*,*,922.00,544.33,,,,
19,S.28,ป่าสัก,พัฒนานิคม,ลพบุรี,31.46,16.20,16.20,16.20,18.58,24.43,26.73,30.96,21.33,<a id="btn_354" class="btn btn-primary btn-sm showGraph">กราฟ</a>,91.85,ระดับน้ำทรงตัว,
,,,,,1300.00,*,*,*,57.00,391.00,570.00,1194.00,553.00,,,,
20,S.9,ป่าสัก,แก่งคอย,สระบุรี,22.56,8.41,8.53,9.02,10.14,12.21,14.81,17.65,11.54,<a id="btn_351" class="btn btn-primary btn-sm showGraph">กราฟ</a>,53.68,ระดับน้ำทรงตัว,
,,,,,1740.00,*,4.00,24.00,90.00,261.00,571.00,934.00,314.00,,,,
21,S.32,ป่าสัก,เมืองสระบุรี,สระบุรี,12.80,6.12,5.68,5.81,6.12,7.06,9.43,11.29,7.36,<a id="btn_313" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,ระดับน้ำทรงตัว,
,,,,,1555.00,***,***,***,***,***,***,***,,,,,
22,S.26,ป่าสัก,ท่าเรือ,พระนครศรีอยุธยา,8.00,2.48,2.94,3.44,3.97,4.39,5.38,7.18,4.25,<a id="btn_353" class="btn btn-primary btn-sm showGraph">กราฟ</a>,84.63,ระดับน้ำทรงตัว,
,,,,,800.00,***,182.00,227.00,277.00,322.00,438.00,677.00,353.83,,,,
23,S.5,ป่าสัก,พระนครศรีอยุธยา,พระนครศรีอยุธยา,4.70,2.30,2.52,2.77,2.98,3.21,3.41,3.75,2.99,<a id="btn_349" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,ระดับน้ำทรงตัว,
,,,,,1400.00,**,**,**,**,**,**,**,,,,,
