
,,,,,,,รายงานสภาพน้ำท่า ภาคกลาง(ชัยนาท),
,,,,ศูนย์อุทกวิทยาชลประทานภาคกลาง(ชัยนาท) สำนักบริหารจัดการน้ำและอุทกวิทยา กรมชลประทาน,
,,,,,,,วันที่ 15 - 21 กันยายน 2564,

,,,,,,,,สภาพน้ำท่า(วันที่) เวลา 6.00 น.,

ลำดับ,สถานี,ลุ่มน้ำ,อำเภอ,จังหวัด,ระดับตลิ่ง(ม.) | ความจุลำน้ำ(ลบ.ม./วินาที),พ. 15 ก.ย.,พฤ. 16 ก.ย.,ศ. 17 ก.ย.,ส. 18 ก.ย.,อา. 19 ก.ย.,จ. 20 ก.ย.,อ. 21 ก.ย.,เฉลี่ย,กราฟ,ร้อยละของความจุ,แนวโน้ม,
1,P.17,ปิง,บรรพตพิสัย,นครสวรรค์,39.80,36.56,36.20,36.07,36.42,36.77,36.96,36.85,36.55,<a id="btn_347" class="btn btn-primary btn-sm showGraph">กราฟ</a>,25.15,,
,,,,,2990.00,662.00,563.00,509.00,622.00,726.00,790.00,752.00,660.57,,,,
2,N.67,น่าน,ชุมแสง,นครสวรรค์,28.30,25.32,25.15,24.91,24.87,25.04,25.24,25.38,25.13,<a id="btn_345" class="btn btn-primary btn-sm showGraph">กราฟ</a>,56.68,,
,,,,,1579.00,884.00,853.00,811.00,804.00,833.00,869.00,895.00,849.86,,,,
3,C.2,เจ้าพระยา,เมืองนครสวรรค์,นครสวรรค์,26.20,22.21,21.95,21.70,21.73,22.06,22.35,22.51,22.07,<a id="btn_315" class="btn btn-primary btn-sm showGraph">กราฟ</a>,54.65,,
,,,,,3590.00,1864.00,1754.00,1627.00,1642.00,1808.00,1912.00,1962.00,1795.57,,,,
4,C.13,เจ้าพระยา,สรรพยา,ชัยนาท,ระดับเหนือเขื่อน-ม.,16.50,16.50,16.50,16.50,16.38,16.45,16.50,16.48,<a id="btn_319" class="btn btn-primary btn-sm showGraph">กราฟ</a>,52.15,,
,,,,,16.34,12.43,12.14,11.96,11.95,12.18,12.35,12.62,12.23,,,,
,,,,,2840.00,1423.00,1338.00,1287.00,1285.00,1350.00,1400.00,1481.00,1366.29,,,,
5,C.3,เจ้าพระยา,เมืองสิงห์บุรี,สิงห์บุรี,13.40,8.58,8.53,8.37,8.23,8.45,8.63,8.87,8.52,<a id="btn_316" class="btn btn-primary btn-sm showGraph">กราฟ</a>,47.86,,
,,,,,2900.00,1308.00,1294.00,1251.00,1214.00,1273.00,1321.00,1388.00,1292.71,,,,
6,C.7A,เจ้าพระยา,เมืองอ่างทอง,อ่างทอง,10.00,5.22,5.36,5.25,5.12,5.22,5.39,5.60,5.31,<a id="btn_318" class="btn btn-primary btn-sm showGraph">กราฟ</a>,48.64,,
,,,,,2800.00,1249.00,1290.00,1257.00,1219.00,1249.00,1299.00,1362.00,1275.00,,,,
7,C.35,เจ้าพระยา,พระนครศรีอยุธยา,พระนครศรีอยุธยา,4.58,2.66,2.85,2.80,2.75,2.77,2.83,2.95,2.80,<a id="btn_325" class="btn btn-primary btn-sm showGraph">กราฟ</a>,76.25,,
,,,,,1179.00,812.00,871.00,855.00,840.00,846.00,865.00,899.00,855.43,,,,
8,C.36,เจ้าพระยา,บางบาล,พระนครศรีอยุธยา,4.00,3.39,3.51,3.44,3.35,3.40,3.51,3.65,3.46,<a id="btn_326" class="btn btn-primary btn-sm showGraph">กราฟ</a>,89.29,,
,,,,,420.00,342.00,357.00,348.00,337.00,343.00,357.00,375.00,351.29,,,,
9,C.37,เจ้าพระยา,บางบาล,พระนครศรีอยุธยา,3.80,2.84,3.02,2.98,2.90,2.92,3.02,3.14,2.97,<a id="btn_327" class="btn btn-primary btn-sm showGraph">กราฟ</a>,74.32,,
,,,,,148.00,94.00,103.00,101.00,97.00,98.00,103.00,110.00,100.86,,,,
10,C.29A,เจ้าพระยา,บางไทร,พระนครศรีอยุธยา,3.40,0.96,1.27,1.53,1.39,1.37,1.34,1.39,1.32,<a id="btn_323" class="btn btn-primary btn-sm showGraph">กราฟ</a>,39.83,,
,,,,,3500.00,1532.00,1190.00,1402.00,1459.00,1197.00,1261.00,1394.00,1347.86,,,,
,,,,,ปริมาณน้ำเฉลี่ยรายวัน-ลบ.ม./วิ,863.00,1125.00,1285.00,1324.00,1425.00,1480.00,1547.00,1292.71,,,,
11,C.30,เจ้าพระยา,ห้วยคต,อุทัยธานี,108.30,101.45,101.45,101.45,101.45,101.45,101.45,101.45,101.45,<a id="btn_324" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,830.00,*,*,*,*,*,*,*,,,,,
