
,,,,,,,รายงานสภาพน้ำท่า ภาคกลาง(ชัยนาท),
,,,,ศูนย์อุทกวิทยาชลประทานภาคกลาง(ชัยนาท) สำนักบริหารจัดการน้ำและอุทกวิทยา กรมชลประทาน,
,,,,,,,วันที่ 25 - 31 สิงหาคม 2563,

,,,,,,,,สภาพน้ำท่า(วันที่) เวลา 6.00 น.,

ลำดับ,สถานี,ลุ่มน้ำ,อำเภอ,จังหวัด,ระดับตลิ่ง(ม.) | ความจุลำน้ำ(ลบ.ม./วินาที),อ. 25 ส.ค.,พ. 26 ส.ค.,พฤ. 27 ส.ค.,ศ. 28 ส.ค.,ส. 29 ส.ค.,อา. 30 ส.ค.,จ. 31 ส.ค.,เฉลี่ย,กราฟ,ร้อยละของความจุ,แนวโน้ม,
1,P.17,ปิง,บรรพตพิสัย,นครสวรรค์,39.80,34.11,34.10,34.22,34.55,34.48,34.31,34.17,34.28,<a id="btn_347" class="btn btn-primary btn-sm showGraph">กราฟ</a>,1.20,ระดับน้ำทรงตัว,
,,,,,2990.00,30.00,29.00,42.00,84.00,75.00,53.00,36.00,49.86,,,,
2,N.67,น่าน,ชุมแสง,นครสวรรค์,28.30,21.05,22.85,23.39,23.11,22.20,21.43,20.91,22.13,<a id="btn_345" class="btn btn-primary btn-sm showGraph">กราฟ</a>,21.41,ระดับน้ำทรงตัว,
,,,,,1579.00,354.00,614.00,717.00,662.00,506.00,399.00,338.00,512.86,,,,
3,C.2,เจ้าพระยา,เมืองนครสวรรค์,นครสวรรค์,26.20,17.73,18.62,19.07,19.21,19.04,18.66,18.36,18.67,<a id="btn_315" class="btn btn-primary btn-sm showGraph">กราฟ</a>,12.79,ระดับน้ำทรงตัว,
,,,,,3590.00,288.00,521.00,648.00,692.00,638.00,532.00,459.00,539.71,,,,
4,C.13,เจ้าพระยา,สรรพยา,ชัยนาท,ระดับเหนือเขื่อน-ม.,13.88,14.37,15.06,15.62,15.95,15.96,15.87,15.24,<a id="btn_319" class="btn btn-primary btn-sm showGraph">กราฟ</a>,2.11,ระดับน้ำทรงตัว,
,,,,,16.34,5.38,5.38,5.38,5.38,5.45,5.46,5.38,5.40,,,,
,,,,,2840.00,60.00,60.00,60.00,60.00,65.00,66.00,60.00,61.57,,,,
5,C.3,เจ้าพระยา,เมืองสิงห์บุรี,สิงห์บุรี,13.40,1.61,1.62,1.63,1.69,1.66,1.76,1.75,1.67,<a id="btn_316" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,ระดับน้ำทรงตัว,
,,,,,2900.00,**,**,**,**,**,**,**,,,,,
6,C.7A,เจ้าพระยา,เมืองอ่างทอง,อ่างทอง,10.00,1.02,0.99,1.06,0.96,1.04,1.07,1.07,1.03,<a id="btn_318" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,ระดับน้ำทรงตัว,
,,,,,2800.00,**,**,**,**,**,**,**,,,,,
7,C.35,เจ้าพระยา,พระนครศรีอยุธยา,พระนครศรีอยุธยา,4.58,0.69,0.73,0.75,0.73,0.76,0.83,0.85,0.76,<a id="btn_325" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,ระดับน้ำทรงตัว,
,,,,,1179.00,**,**,**,**,**,**,**,,,,,
8,C.36,เจ้าพระยา,บางบาล,พระนครศรีอยุธยา,4.00,0.34,0.36,0.37,0.36,0.39,0.43,0.43,0.38,<a id="btn_326" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,ระดับน้ำทรงตัว,
,,,,,420.00,**,**,**,**,**,**,**,,,,,
9,C.37,เจ้าพระยา,บางบาล,พระนครศรีอยุธยา,3.80,0.33,0.41,0.44,0.42,0.44,0.45,0.43,0.42,<a id="btn_327" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,ระดับน้ำทรงตัว,
,,,,,148.00,**,**,**,**,**,**,**,,,,,
10,C.29A,เจ้าพระยา,บางไทร,พระนครศรีอยุธยา,3.40,0.29,0.37,0.52,0.39,0.51,0.62,0.74,0.49,<a id="btn_323" class="btn btn-primary btn-sm showGraph">กราฟ</a>,13.37,,
