
,,,,,,,รายงานสภาพน้ำฝน ภาคกลาง(ชัยนาท),
,,,,ศูนย์อุทกวิทยาชลประทานภาคกลาง(ชัยนาท) สำนักบริหารจัดการน้ำและอุทกวิทยา กรมชลประทาน,
,,,,,,,วันที่ 2 - 8 กันยายน 2564,

,,,,,,,,สภาพน้ำฝน(วันที่) เวลา 7.00 น.,
ลำดับ,รหัสสถานี,สถานี,ลุ่มน้ำ,อำเภอ,จังหวัด,ปริมาณฝนสูงสุดที่เคยเกิด,พฤ. 2 ก.ย.,ศ. 3 ก.ย.,ส. 4 ก.ย.,อา. 5 ก.ย.,จ. 6 ก.ย.,อ. 7 ก.ย.,พ. 8 ก.ย.,เฉลี่ย,ฝนสะสม 3 วัน,กราฟ,
1,260311,N.67,น่าน,ชุมแสง,นครสวรรค์,212.7,44.6,14.2,7.8,0.0,0.0,0.0,7.2,11.0,7.2,<a id="btn_90" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
2,260301,C.2,เจ้าพระยา,เมืองนครสวรรค์,นครสวรรค์,145.4,46.8,13.4,1.5,2.8,67.7,0.0,0.0,19.7,67.7,<a id="btn_89" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
3,040361,C.13,เจ้าพระยา,สรรพยา,ชัยนาท,172.2,16.0,0.0,2.0,0.0,0.0,4.0,13.0,5.8,17.0,<a id="btn_83" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
4,690151,C.30,เจ้าพระยา,ห้วยคต,อุทัยธานี,118.3,8.4,22.6,24.9,1.7,1.1,1.2,0.0,8.3,2.3,<a id="btn_92" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
5,260271,Ct.4,สะแกกรัง,ลาดยาว,นครสวรรค์,148.6,8.6,5.2,3.0,1.0,0.8,0.0,0.0,4.5,0.8,<a id="btn_87" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
6,120081,Ct.5A,สะแกกรัง,ขาณุวรลักษบุรี,กำแพงเพชร,165.0,5.5,31.5,29.5,0.0,2.0,2.5,0.0,9.6,4.5,<a id="btn_84" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
7,260281,Ct.7,สะแกกรัง,แม่เปิน,นครสวรรค์,270.0,3.7,7.0,13.5,0.0,0.0,16.5,0.0,5.1,16.5,<a id="btn_88" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
8,690251,โครงการส่งน้ำและบำรุงรักษาทับเสลา (Ct.9),สะแกกรัง,ลานสัก,อุทัยธานี,198.0,8.7,7.3,27.4,2.0,16.7,14.2,0.0,11.6,30.9,<a id="btn_95" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
9,690201,Ct.2A,สะแกกรัง,เมืองอุทัยธานี,อุทัยธานี,182.3,7.7,0.8,0.0,29.6,1.1,1.0,0.0,6.9,2.1,<a id="btn_94" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
10,540450,S.9,ป่าสัก,แก่งคอย,สระบุรี,127.7,1.0,0.0,0.5,0.0,0.0,18.5,0.0,4.1,18.5,<a id="btn_91" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
11,190351,S.13,ป่าสัก,ลำสนธิ,ลพบุรี,228.1,9.1,14.9,0.0,14.6,17.4,10.7,0.5,8.6,28.6,<a id="btn_85" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
12,190620,S.28,ป่าสัก,พัฒนานิคม,ลพบุรี,167.8,0.7,0.0,13.2,0.5,6.4,14.6,0.0,4.8,21.0,<a id="btn_86" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
13,690251,T.7,ท่าจีน,บ้านไร่,อุทัยธานี,90.8,48.7,1.5,15.5,2.9,5.5,0.0,0.0,12.9,5.5,<a id="btn_93" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
14,260001,อบต.บางตาหงาย,ปิง,บรรพตพิสัย,นครสวรรค์,*,0.0,0.0,3.0,0.0,0.4,0.2,1.4,0.6,2.0,<a id="btn_211" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
15,260002,ทต.ท่าตะโก,เจ้าพระยา,ท่าตะโก,นครสวรรค์,*,22.0,16.4,0.0,26.0,0.0,30.2,0.0,11.8,30.2,<a id="btn_212" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
16,260003,หน่วยพิทักษ์อุทยานฯแม่เรวา,สะแกกรัง,แม่วงก์,นครสวรรค์,*,0.0,25.6,0.0,0.0,0.0,1.0,0.0,3.4,1.0,<a id="btn_213" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
17,260004,สะพานแม่เลย์,สะแกกรัง,แม่วงก์,นครสวรรค์,*,0.0,23.6,0.0,0.2,0.0,0.0,0.0,3.0,0.0,<a id="btn_214" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
18,120001,สะพานแม่วงก์,สะแกกรัง,ขาณุวรลักษบุรี,กำแพงเพชร,*,0.0,0.0,20.8,0.2,0.0,0.0,0.0,2.6,0.0,<a id="btn_215" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
19,690001,ทต.สว่างอารมณ์,สะแกกรัง,สว่างอารมณ์,อุทัยธานี,*,45.4,8.2,0.0,8.0,0.0,0.6,0.0,8.9,0.6,<a id="btn_216" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
20,690002,ทต.ทัพทัน,สะแกกรัง,ทัพทัน,อุทัยธานี,*,91.6,0.8,0.0,16.0,17.2,0.0,12.2,19.6,29.4,<a id="btn_217" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
21,690003,ทต.หนองฉาง,สะแกกรัง,หนองฉาง,อุทัยธานี,*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<a id="btn_218" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
22,040001,ทต.หันคา,ท่าจีน,หันคา,ชัยนาท,*,26.6,0.0,0.0,4.0,0.0,1.6,0.0,8.2,1.6,<a id="btn_219" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
23,040002,ทต.แพรกศรีราชา,เจ้าพระยา,สรรคบุรี,ชัยนาท,*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<a id="btn_220" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
