
,,,,,,,รายงานสภาพน้ำฝน ภาคกลาง(ชัยนาท),
,,,,ศูนย์อุทกวิทยาชลประทานภาคกลาง(ชัยนาท) สำนักบริหารจัดการน้ำและอุทกวิทยา กรมชลประทาน,
,,,,,,,วันที่ 26 - 1 กันยายน 2563,

,,,,,,,,สภาพน้ำฝน(วันที่) เวลา 7.00 น.,
ลำดับ,รหัสสถานี,สถานี,ลุ่มน้ำ,อำเภอ,จังหวัด,ปริมาณฝนสูงสุดที่เคยเกิด,พ. 26 ส.ค.,พฤ. 27 ส.ค.,ศ. 28 ส.ค.,ส. 29 ส.ค.,อา. 30 ส.ค.,จ. 31 ส.ค.,อ. 1 ก.ย.,เฉลี่ย,ฝนสะสม 3 วัน,กราฟ,
11,190351,S.13,ป่าสัก,ลำสนธิ,ลพบุรี,228.1,0.0,2.3,0.0,0.0,0.0,16.6,0.0,2.4,16.6,<a id="btn_85" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
12,190620,S.28,ป่าสัก,พัฒนานิคม,ลพบุรี,167.8,0.0,12.2,0.0,0.0,0.0,33.9,2.6,6.1,36.5,<a id="btn_86" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
13,690251,T.7,ท่าจีน,บ้านไร่,อุทัยธานี,90.8,0.0,0.0,8.5,0.0,12.8,12.5,3.1,8.2,28.4,<a id="btn_93" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
14,260001,อบต.บางตาหงาย,ปิง,บรรพตพิสัย,นครสวรรค์,*,0.0,4.0,0.8,0.0,0.0,2.6,0.0,0.9,2.6,<a id="btn_211" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
15,260002,ทต.ท่าตะโก,เจ้าพระยา,ท่าตะโก,นครสวรรค์,*,0.0,0.2,0.0,0.0,0.0,11.2,0.0,1.8,11.2,<a id="btn_212" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
16,260003,หน่วยพิทักษ์อุทยานฯแม่เรวา,สะแกกรัง,แม่วงก์,นครสวรรค์,*,0.0,0.0,12.8,8.2,0.0,22.2,3.0,8.6,25.2,<a id="btn_213" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
17,260004,สะพานแม่เลย์,สะแกกรัง,แม่วงก์,นครสวรรค์,*,0.0,0.0,14.0,0.0,0.8,48.4,6.0,9.8,55.2,<a id="btn_214" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
18,120001,สะพานแม่วงก์,สะแกกรัง,ขาณุวรลักษบุรี,กำแพงเพชร,*,0.0,0.0,0.0,0.0,0.0,9.8,0.0,1.4,9.8,<a id="btn_215" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
19,690001,ทต.สว่างอารมณ์,สะแกกรัง,สว่างอารมณ์,อุทัยธานี,*,0.0,19.2,0.0,0.0,0.0,37.4,0.0,7.1,37.4,<a id="btn_216" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
20,690002,ทต.ทัพทัน,สะแกกรัง,ทัพทัน,อุทัยธานี,*,0.0,0.2,0.0,0.0,0.0,10.2,0.0,1.3,10.2,<a id="btn_217" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
21,690003,ทต.หนองฉาง,สะแกกรัง,หนองฉาง,อุทัยธานี,*,0.0,0.4,21.0,0.0,0.0,105.2,0.4,15.9,105.6,<a id="btn_218" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
22,040001,ทต.หันคา,ท่าจีน,หันคา,ชัยนาท,*,0.0,22.6,3.0,0.0,0.0,6.8,10.6,6.2,17.4,<a id="btn_219" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
23,040002,ทต.แพรกศรีราชา,เจ้าพระยา,สรรคบุรี,ชัยนาท,*,0.0,1.4,,0.0,0.0,27.6,1.6,4.4,29.2,<a id="btn_220" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
24,040003,ทต.วัดสิงห์,ท่าจีน,วัดสิงห์,ชัยนาท,*,0.0,0.6,0.4,0.0,0.0,74.2,0.6,10.9,74.8,<a id="btn_221" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
25,190001,เทศบาลตำบลโคกตูม,เจ้าพระยา,เมืองลพบุรี,ลพบุรี,*,0.0,18.2,0.0,0.0,0.0,55.4,2.6,9.5,58.0,<a id="btn_222" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
26,190002,อบต.ท่ามะนาว,ป่าสัก,ชัยบาดาล,ลพบุรี,*,0.0,1.8,0.0,1.4,13.0,70.0,0.4,11.4,83.4,<a id="btn_223" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
27,540001,บ้านโป่งไทร,ป่าสัก,มวกเหล็ก,สระบุรี,*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<a id="btn_224" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
28,540002,บ้านหนองเอี่ยวใน,ป่าสัก,มวกเหล็ก,สระบุรี,*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<a id="btn_225" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
29,540003,บ้านหินลับ,ป่าสัก,มวกเหล็ก,สระบุรี,*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<a id="btn_226" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
30,540004,บ้านหนองคล้า,ป่าสัก,แก่งคอย,สระบุรี,*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<a id="btn_227" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
31,420001,ทต.บางไทร,เจ้าพระยา,บางไทร,พระนครศรีอยุธยา,*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<a id="btn_228" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
32,420002,ที่ทำการกำนันตำบลลาดชิด,เจ้าพระยา,ผักไห่,พระนครศรีอยุธยา,*,0.0,0.0,10.0,0.0,0.0,8.0,5.4,3.1,13.4,<a id="btn_229" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
