
,,,,,,,รายงานสภาพน้ำฝน ภาคกลาง(ชัยนาท),
,,,,ศูนย์อุทกวิทยาชลประทานภาคกลาง(ชัยนาท) สำนักบริหารจัดการน้ำและอุทกวิทยา กรมชลประทาน,
,,,,,,,วันที่ 23 - 29 กันยายน 2564,

,,,,,,,,สภาพน้ำฝน(วันที่) เวลา 7.00 น.,
ลำดับ,รหัสสถานี,สถานี,ลุ่มน้ำ,อำเภอ,จังหวัด,ปริมาณฝนสูงสุดที่เคยเกิด,พฤ. 23 ก.ย.,ศ. 24 ก.ย.,ส. 25 ก.ย.,อา. 26 ก.ย.,จ. 27 ก.ย.,อ. 28 ก.ย.,พ. 29 ก.ย.,เฉลี่ย,ฝนสะสม 3 วัน,กราฟ,
1,260311,N.67,น่าน,ชุมแสง,นครสวรรค์,212.7,18.2,22.4,48.6,22.2,0.0,3.6,0.0,16.4,3.6,<a id="btn_90" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
2,260301,C.2,เจ้าพระยา,เมืองนครสวรรค์,นครสวรรค์,145.4,24.0,2.6,112.6,0.0,7.4,0.0,0.0,20.9,7.4,<a id="btn_89" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
3,040361,C.13,เจ้าพระยา,สรรพยา,ชัยนาท,172.2,14.2,7.4,80.0,35.3,5.5,0.0,0.0,20.3,5.5,<a id="btn_83" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
4,690151,C.30,เจ้าพระยา,ห้วยคต,อุทัยธานี,118.3,,0.0,34.6,19.3,0.0,0.0,0.0,9.0,0.0,<a id="btn_92" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
5,260271,Ct.4,สะแกกรัง,ลาดยาว,นครสวรรค์,148.6,32.8,0.2,142.5,32.8,0.2,0.0,0.0,29.8,0.2,<a id="btn_87" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
6,120081,Ct.5A,สะแกกรัง,ขาณุวรลักษบุรี,กำแพงเพชร,165.0,11.5,0.5,110.5,39.0,0.0,0.0,0.0,23.1,0.0,<a id="btn_84" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
7,260281,Ct.7,สะแกกรัง,แม่เปิน,นครสวรรค์,270.0,80.2,0.0,75.0,27.0,0.0,0.0,0.0,26.0,0.0,<a id="btn_88" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
8,690251,โครงการส่งน้ำและบำรุงรักษาทับเสลา (Ct.9),สะแกกรัง,ลานสัก,อุทัยธานี,198.0,45.5,4.1,63.5,12.1,0.0,0.0,0.0,17.9,0.0,<a id="btn_95" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
9,690201,Ct.2A,สะแกกรัง,เมืองอุทัยธานี,อุทัยธานี,182.3,83.3,0.7,71.8,7.5,0.0,0.0,0.0,23.3,0.0,<a id="btn_94" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
10,540450,S.9,ป่าสัก,แก่งคอย,สระบุรี,127.7,6.0,12.5,49.5,0.0,0.5,0.0,0.0,9.8,0.5,<a id="btn_91" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
11,190351,S.13,ป่าสัก,ลำสนธิ,ลพบุรี,228.1,4.9,60.3,190.2,7.8,1.6,0.0,0.0,37.8,1.6,<a id="btn_85" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
12,190620,S.28,ป่าสัก,พัฒนานิคม,ลพบุรี,167.8,3.5,21.8,150.3,13.5,2.2,16.9,0.0,29.7,19.1,<a id="btn_86" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
13,690251,T.7,ท่าจีน,บ้านไร่,อุทัยธานี,90.8,14.5,23.5,38.5,18.5,0.0,0.0,0.0,13.6,0.0,<a id="btn_93" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
14,260001,อบต.บางตาหงาย,ปิง,บรรพตพิสัย,นครสวรรค์,*,47.6,48.0,0.2,0.0,0.2,0.0,0.0,13.7,0.2,<a id="btn_211" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
15,260002,ทต.ท่าตะโก,เจ้าพระยา,ท่าตะโก,นครสวรรค์,*,27.0,27.2,0.0,1.4,0.4,0.6,0.0,8.1,1.0,<a id="btn_212" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
16,260003,หน่วยพิทักษ์อุทยานฯแม่เรวา,สะแกกรัง,แม่วงก์,นครสวรรค์,*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<a id="btn_213" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
17,260004,สะพานแม่เลย์,สะแกกรัง,แม่วงก์,นครสวรรค์,*,18.6,0.0,5.0,19.8,0.6,4.8,0.0,7.0,5.4,<a id="btn_214" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
18,120001,สะพานแม่วงก์,สะแกกรัง,ขาณุวรลักษบุรี,กำแพงเพชร,*,10.8,0.0,5.0,22.8,0.0,0.0,0.0,5.5,0.0,<a id="btn_215" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
19,690001,ทต.สว่างอารมณ์,สะแกกรัง,สว่างอารมณ์,อุทัยธานี,*,17.4,15.2,2.0,20.8,0.0,0.0,0.0,7.9,0.0,<a id="btn_216" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
20,690002,ทต.ทัพทัน,สะแกกรัง,ทัพทัน,อุทัยธานี,*,26.2,0.0,6.4,31.0,0.0,0.0,0.0,9.1,0.0,<a id="btn_217" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
21,690003,ทต.หนองฉาง,สะแกกรัง,หนองฉาง,อุทัยธานี,*,21.2,21.4,1.2,14.2,0.0,0.0,0.2,8.3,0.2,<a id="btn_218" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
22,040001,ทต.หันคา,ท่าจีน,หันคา,ชัยนาท,*,4.4,0.0,3.2,22.2,0.0,0.0,0.0,4.3,0.0,<a id="btn_219" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
23,040002,ทต.แพรกศรีราชา,เจ้าพระยา,สรรคบุรี,ชัยนาท,*,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.4,0.0,<a id="btn_220" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
24,040003,ทต.วัดสิงห์,ท่าจีน,วัดสิงห์,ชัยนาท,*,15.8,16.0,0.2,20.1,0.0,0.0,0.0,7.4,0.0,<a id="btn_221" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
25,190001,เทศบาลตำบลโคกตูม,เจ้าพระยา,เมืองลพบุรี,ลพบุรี,*,1.2,0.0,0.0,0.0,2.0,0.0,0.0,0.5,2.0,<a id="btn_222" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
26,190002,อบต.ท่ามะนาว,ป่าสัก,ชัยบาดาล,ลพบุรี,*,0.4,0.0,27.8,0.8,0.0,0.0,0.0,4.1,0.0,<a id="btn_223" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
27,540001,บ้านโป่งไทร,ป่าสัก,มวกเหล็ก,สระบุรี,*,1.0,0.0,0.0,0.0,2.8,0.0,0.0,0.5,2.8,<a id="btn_224" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
28,540002,บ้านหนองเอี่ยวใน,ป่าสัก,มวกเหล็ก,สระบุรี,*,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,<a id="btn_225" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
29,540003,บ้านหินลับ,ป่าสัก,มวกเหล็ก,สระบุรี,*,46.5,0.0,0.0,0.0,0.0,7.0,0.0,7.6,7.0,<a id="btn_226" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
30,540004,บ้านหนองคล้า,ป่าสัก,แก่งคอย,สระบุรี,*,50.0,0.0,0.0,2.5,0.0,0.5,0.0,7.6,0.5,<a id="btn_227" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
31,420001,ทต.บางไทร,เจ้าพระยา,บางไทร,พระนครศรีอยุธยา,*,0.4,0.0,0.0,0.0,0.0,0.8,0.0,0.2,0.8,<a id="btn_228" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
32,420002,ที่ทำการกำนันตำบลลาดชิด,เจ้าพระยา,ผักไห่,พระนครศรีอยุธยา,*,40.2,0.0,10.6,0.0,24.0,0.2,0.0,10.7,24.2,<a id="btn_229" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
