
,,,,,,,รายงานสภาพน้ำฝน ภาคกลาง(ชัยนาท),
,,,,ศูนย์อุทกวิทยาชลประทานภาคกลาง(ชัยนาท) สำนักบริหารจัดการน้ำและอุทกวิทยา กรมชลประทาน,
,,,,,,,วันที่ 2 - 8 กันยายน 2563,

,,,,,,,,สภาพน้ำฝน(วันที่) เวลา 7.00 น.,
ลำดับ,รหัสสถานี,สถานี,ลุ่มน้ำ,อำเภอ,จังหวัด,ปริมาณฝนสูงสุดที่เคยเกิด,พ. 2 ก.ย.,พฤ. 3 ก.ย.,ศ. 4 ก.ย.,ส. 5 ก.ย.,อา. 6 ก.ย.,จ. 7 ก.ย.,อ. 8 ก.ย.,เฉลี่ย,ฝนสะสม 3 วัน,กราฟ,
1,260311,N.67,น่าน,ชุมแสง,นครสวรรค์,212.7,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.5,3.9,<a id="btn_90" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
2,260301,C.2,เจ้าพระยา,เมืองนครสวรรค์,นครสวรรค์,145.4,0.0,0.0,0.0,0.0,11.9,0.0,0.0,1.5,11.9,<a id="btn_89" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
3,040361,C.13,เจ้าพระยา,สรรพยา,ชัยนาท,172.2,4.0,0.0,0.0,0.0,0.0,30.0,6.0,5.0,36.0,<a id="btn_83" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
4,690151,C.30,เจ้าพระยา,ห้วยคต,อุทัยธานี,118.3,6.3,0.0,0.0,1.1,3.3,26.5,31.4,8.6,61.2,<a id="btn_92" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
5,260271,Ct.4,สะแกกรัง,ลาดยาว,นครสวรรค์,148.6,0.0,0.0,7.3,0.0,4.8,0.0,0.4,1.6,5.2,<a id="btn_87" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
6,120081,Ct.5A,สะแกกรัง,ขาณุวรลักษบุรี,กำแพงเพชร,165.0,0.0,0.0,0.0,0.0,2.0,0.5,3.5,0.8,6.0,<a id="btn_84" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
7,260281,Ct.7,สะแกกรัง,แม่เปิน,นครสวรรค์,270.0,0.0,0.0,6.2,0.0,10.0,16.0,0.0,4.0,26.0,<a id="btn_88" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
8,690251,โครงการส่งน้ำและบำรุงรักษาทับเสลา (Ct.9),สะแกกรัง,ลานสัก,อุทัยธานี,198.0,2.3,0.0,1.9,6.7,2.9,2.7,2.8,2.7,8.4,<a id="btn_95" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
9,690201,Ct.2A,สะแกกรัง,เมืองอุทัยธานี,อุทัยธานี,182.3,5.7,0.0,0.0,0.0,0.0,5.5,0.0,1.4,5.5,<a id="btn_94" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
10,540450,S.9,ป่าสัก,แก่งคอย,สระบุรี,127.7,0.0,0.0,0.0,0.0,0.0,37.0,0.5,4.7,37.5,<a id="btn_91" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
