
,,,,,,,รายงานสภาพน้ำฝน ภาคกลาง(ชัยนาท),
,,,,ศูนย์อุทกวิทยาชลประทานภาคกลาง(ชัยนาท) สำนักบริหารจัดการน้ำและอุทกวิทยา กรมชลประทาน,
,,,,,,,วันที่ 12 - 18 สิงหาคม 2563,

,,,,,,,,สภาพน้ำฝน(วันที่) เวลา 7.00 น.,
ลำดับ,รหัสสถานี,สถานี,ลุ่มน้ำ,อำเภอ,จังหวัด,ปริมาณฝนสูงสุดที่เคยเกิด,พ. 12 ส.ค.,พฤ. 13 ส.ค.,ศ. 14 ส.ค.,ส. 15 ส.ค.,อา. 16 ส.ค.,จ. 17 ส.ค.,อ. 18 ส.ค.,เฉลี่ย,ฝนสะสม 3 วัน,กราฟ,
1,260311,N.67,น่าน,ชุมแสง,นครสวรรค์,212.7,20.5,2.6,0.0,0.0,0.0,15.9,7.9,5.9,23.8,<a id="btn_90" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
2,260301,C.2,เจ้าพระยา,เมืองนครสวรรค์,นครสวรรค์,145.4,1.6,0.0,0.0,0.0,0.0,41.5,8.6,6.5,50.1,<a id="btn_89" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
3,040361,C.13,เจ้าพระยา,สรรพยา,ชัยนาท,172.2,16.4,0.0,0.0,0.0,4.5,2.0,0.0,2.9,6.5,<a id="btn_83" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
4,690151,C.30,เจ้าพระยา,ห้วยคต,อุทัยธานี,118.3,2.7,1.4,0.0,0.0,7.6,7.6,1.2,2.6,16.4,<a id="btn_92" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
5,260271,Ct.4,สะแกกรัง,ลาดยาว,นครสวรรค์,148.6,69.4,2.3,0.0,0.0,0.8,20.9,2.6,12.0,24.3,<a id="btn_87" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
6,120081,Ct.5A,สะแกกรัง,ขาณุวรลักษบุรี,กำแพงเพชร,165.0,23.0,16.5,0.0,0.0,0.0,10.0,44.5,11.8,54.5,<a id="btn_84" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
7,260281,Ct.7,สะแกกรัง,แม่เปิน,นครสวรรค์,270.0,66.5,32.5,0.0,0.0,0.0,20.0,16.6,17.0,36.6,<a id="btn_88" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
8,690251,โครงการส่งน้ำและบำรุงรักษาทับเสลา (Ct.9),สะแกกรัง,ลานสัก,อุทัยธานี,198.0,11.5,5.3,0.0,0.0,0.3,0.9,0.0,2.3,1.2,<a id="btn_95" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
9,690201,Ct.2A,สะแกกรัง,เมืองอุทัยธานี,อุทัยธานี,182.3,0.0,1.0,0.0,10.7,0.0,5.5,2.9,2.5,8.4,<a id="btn_94" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
10,540450,S.9,ป่าสัก,แก่งคอย,สระบุรี,127.7,3.0,18.0,10.5,0.0,0.0,0.5,0.0,4.3,0.5,<a id="btn_91" class="btn btn-primary btn-sm showGraph">กราฟ</a>,
