
,,,,,,,รายงานสภาพน้ำท่า ภาคกลาง(ชัยนาท),
,,,,ศูนย์อุทกวิทยาชลประทานภาคกลาง(ชัยนาท) สำนักบริหารจัดการน้ำและอุทกวิทยา กรมชลประทาน,
,,,,,,,วันที่ 8 - 14 ตุลาคม 2563,

,,,,,,,,สภาพน้ำท่า(วันที่) เวลา 6.00 น.,

ลำดับ,สถานี,ลุ่มน้ำ,อำเภอ,จังหวัด,ระดับตลิ่ง(ม.) | ความจุลำน้ำ(ลบ.ม./วินาที),พฤ. 8 ต.ค.,ศ. 9 ต.ค.,ส. 10 ต.ค.,อา. 11 ต.ค.,จ. 12 ต.ค.,อ. 13 ต.ค.,พ. 14 ต.ค.,เฉลี่ย,กราฟ,ร้อยละของความจุ,แนวโน้ม,
1,P.17,ปิง,บรรพตพิสัย,นครสวรรค์,39.80,35.55,35.46,35.37,35.40,35.23,34.93,34.72,35.24,<a id="btn_347" class="btn btn-primary btn-sm showGraph">กราฟ</a>,4.05,,
,,,,,2990.00,423.00,378.00,334.00,347.00,279.00,176.00,121.00,294.00,,,,
2,N.67,น่าน,ชุมแสง,นครสวรรค์,28.30,23.45,23.36,23.05,22.56,22.22,21.98,21.57,22.60,<a id="btn_345" class="btn btn-primary btn-sm showGraph">กราฟ</a>,26.41,,
,,,,,1579.00,729.00,711.00,650.00,563.00,509.00,473.00,417.00,578.86,,,,
3,C.2,เจ้าพระยา,เมืองนครสวรรค์,นครสวรรค์,26.20,20.49,20.40,20.25,20.06,19.90,19.54,19.23,19.98,<a id="btn_315" class="btn btn-primary btn-sm showGraph">กราฟ</a>,19.47,,
,,,,,3590.00,1135.00,1100.00,1042.00,974.00,919.00,806.00,699.00,953.57,,,,
4,C.13,เจ้าพระยา,สรรพยา,ชัยนาท,ระดับเหนือเขื่อน-ม.,16.50,16.50,16.50,16.50,16.50,16.50,16.50,16.50,<a id="btn_319" class="btn btn-primary btn-sm showGraph">กราฟ</a>,15.77,,
,,,,,16.34,9.84,9.81,9.71,9.57,9.54,9.12,8.41,9.43,,,,
,,,,,2840.00,726.00,718.00,694.00,666.00,660.00,576.00,448.00,641.14,,,,
5,C.3,เจ้าพระยา,เมืองสิงห์บุรี,สิงห์บุรี,13.40,6.06,6.24,6.19,6.07,6.07,5.83,5.49,5.99,<a id="btn_316" class="btn btn-primary btn-sm showGraph">กราฟ</a>,18.83,,
,,,,,2900.00,646.00,677.00,669.00,648.00,648.00,605.00,546.00,634.14,,,,
6,C.7A,เจ้าพระยา,เมืองอ่างทอง,อ่างทอง,10.00,3.30,3.44,3.53,3.48,3.49,3.36,3.11,3.39,<a id="btn_318" class="btn btn-primary btn-sm showGraph">กราฟ</a>,22.00,,
,,,,,2800.00,660.00,701.00,727.00,712.00,715.00,677.00,616.00,686.86,,,,
7,C.35,เจ้าพระยา,พระนครศรีอยุธยา,พระนครศรีอยุธยา,4.58,1.70,1.73,1.97,1.94,1.98,1.86,1.73,1.84,<a id="btn_325" class="btn btn-primary btn-sm showGraph">กราฟ</a>,41.22,,
,,,,,1179.00,476.00,486.00,587.00,573.00,591.00,536.00,486.00,533.57,,,,
8,C.36,เจ้าพระยา,บางบาล,พระนครศรีอยุธยา,4.00,2.07,2.20,2.35,2.32,2.34,2.24,2.03,2.22,<a id="btn_326" class="btn btn-primary btn-sm showGraph">กราฟ</a>,47.14,,
,,,,,420.00,203.00,217.00,233.00,230.00,232.00,221.00,198.00,219.14,,,,
9,C.37,เจ้าพระยา,บางบาล,พระนครศรีอยุธยา,3.80,0.79,0.76,1.05,1.03,1.10,1.00,0.92,0.95,<a id="btn_327" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,148.00,**,**,**,**,**,**,**,,,,,
10,C.29A,เจ้าพระยา,บางไทร,พระนครศรีอยุธยา,3.40,0.52,0.51,0.88,0.85,0.94,0.89,0.88,0.78,<a id="btn_323" class="btn btn-primary btn-sm showGraph">กราฟ</a>,17.03,,
,,,,,3500.00,536.00,527.00,745.00,894.00,1283.00,926.00,596.00,786.71,,,,
,,,,,ปริมาณน้ำเฉลี่ยรายวัน-ลบ.ม./วิ,327.00,416.00,384.00,518.00,597.00,795.00,628.00,523.57,,,,
11,C.30,,,,,,,,,,,,,<a id="btn_324" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,,,,,,,,,,,,,
12,Ct.5A,สะแกกรัง,ขาณุวรลักษบุรี,กำแพงเพชร,106.86,104.29,104.88,106.07,105.35,104.84,104.52,104.33,104.90,<a id="btn_339" class="btn btn-primary btn-sm showGraph">กราฟ</a>,8.97,,
,,,,,234.00,18.00,46.00,123.00,68.00,45.00,34.00,21.00,50.71,,,,
13,Ct.4,สะแกกรัง,ลาดยาว,นครสวรรค์,71.00,68.78,68.70,68.92,69.30,69.38,69.06,68.78,68.99,<a id="btn_338" class="btn btn-primary btn-sm showGraph">กราฟ</a>,11.31,,
,,,,,168.00,20.00,17.00,23.00,40.00,44.00,28.00,19.00,27.29,,,,
14,Ct.7,สะแกกรัง,แม่เปิน,นครสวรรค์,104.88,101.15,101.15,101.15,101.15,101.15,101.15,101.15,101.15,<a id="btn_340" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,170.00,*,*,*,*,,*,*,,,,,
15,Ct.9,สะแกกรัง,ลานสัก,อุทัยธานี,127.47,122.92,122.95,122.92,122.95,122.95,122.93,122.90,122.93,<a id="btn_342" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,280.00,*,*,*,*,*,*,*,,,,,
16,Ct.19,สะแกกรัง,เมืองอุทัยธานี,อุทัยธานี,24.35,17.11,17.11,17.11,17.11,17.11,17.11,17.11,17.11,<a id="btn_343" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,510.00,*,*,*,*,*,*,*,,,,,
17,Ct.2A,สะแกกรัง,เมืองอุทัยธานี,อุทัยธานี,21.34,16.98,16.86,16.82,16.79,16.77,16.87,16.77,16.84,<a id="btn_337" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,616.00,*,*,*,*,*,*,*,,,,,
18,S.43,ป่าสัก,ชัยบาดาล,ลพบุรี,51.90,42.51,42.73,42.87,43.05,43.02,42.90,42.79,42.84,<a id="btn_357" class="btn btn-primary btn-sm showGraph">กราฟ</a>,12.86,,
,,,,,980.00,115.00,123.00,129.00,136.00,135.00,130.00,126.00,127.71,,,,
19,S.28,ป่าสัก,พัฒนานิคม,ลพบุรี,31.46,16.37,16.37,16.37,16.37,16.37,16.37,16.41,16.38,<a id="btn_354" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,1300.00,*,*,*,*,*,*,*,,,,,
20,S.9,ป่าสัก,แก่งคอย,สระบุรี,22.56,8.41,8.37,8.34,8.32,8.32,8.32,8.34,8.35,<a id="btn_351" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,1740.00,***,***,***,***,***,***,***,,,,,
21,S.32,ป่าสัก,เมืองสระบุรี,สระบุรี,12.80,6.80,7.64,7.31,7.37,7.10,7.41,7.06,7.24,<a id="btn_313" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,1555.00,***,***,***,***,***,***,***,,,,,
22,S.26,ป่าสัก,ท่าเรือ,พระนครศรีอยุธยา,8.00,1.77,1.25,1.12,1.75,1.63,1.51,1.39,1.49,<a id="btn_353" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,800.00,***,***,***,***,***,***,***,,,,,
23,S.5,ป่าสัก,พระนครศรีอยุธยา,พระนครศรีอยุธยา,4.70,1.09,1.01,1.39,1.38,1.46,1.33,1.28,1.28,<a id="btn_349" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,1400.00,**,**,**,**,**,**,**,,,,,
