
,,,,,,,รายงานสภาพน้ำท่า ภาคกลาง(ชัยนาท),
,,,,ศูนย์อุทกวิทยาชลประทานภาคกลาง(ชัยนาท) สำนักบริหารจัดการน้ำและอุทกวิทยา กรมชลประทาน,
,,,,,,,วันที่ 25 - 31 สิงหาคม 2564,

,,,,,,,,สภาพน้ำท่า(วันที่) เวลา 6.00 น.,

ลำดับ,สถานี,ลุ่มน้ำ,อำเภอ,จังหวัด,ระดับตลิ่ง(ม.) | ความจุลำน้ำ(ลบ.ม./วินาที),พ. 25 ส.ค.,พฤ. 26 ส.ค.,ศ. 27 ส.ค.,ส. 28 ส.ค.,อา. 29 ส.ค.,จ. 30 ส.ค.,อ. 31 ส.ค.,เฉลี่ย,กราฟ,ร้อยละของความจุ,แนวโน้ม,
1,P.17,ปิง,บรรพตพิสัย,นครสวรรค์,39.80,34.18,34.13,34.11,34.31,34.60,34.87,36.00,34.55,<a id="btn_347" class="btn btn-primary btn-sm showGraph">กราฟ</a>,16.02,,
,,,,,2990.00,41.00,37.00,36.00,53.00,90.00,142.00,479.00,125.43,,,,
2,N.67,น่าน,ชุมแสง,นครสวรรค์,28.30,19.49,19.44,19.20,19.04,19.10,19.58,20.00,19.41,<a id="btn_345" class="btn btn-primary btn-sm showGraph">กราฟ</a>,14.69,,
,,,,,1579.00,176.00,171.00,150.00,138.00,142.00,185.00,232.00,170.57,,,,
3,C.2,เจ้าพระยา,เมืองนครสวรรค์,นครสวรรค์,26.20,17.30,17.26,17.17,17.03,17.16,17.54,18.20,17.38,<a id="btn_315" class="btn btn-primary btn-sm showGraph">กราฟ</a>,11.87,,
,,,,,3590.00,196.00,191.00,181.00,167.00,180.00,241.00,426.00,226.00,,,,
4,C.13,เจ้าพระยา,สรรพยา,ชัยนาท,ระดับเหนือเขื่อน-ม.,14.20,14.22,14.24,14.24,14.20,14.36,14.71,14.31,<a id="btn_319" class="btn btn-primary btn-sm showGraph">กราฟ</a>,1.76,,
,,,,,16.34,5.31,5.31,5.31,5.17,5.17,5.17,5.17,5.23,,,,
,,,,,2840.00,60.00,60.00,60.00,50.00,50.00,50.00,50.00,54.29,,,,
5,C.3,เจ้าพระยา,เมืองสิงห์บุรี,สิงห์บุรี,13.40,1.55,1.59,1.62,1.67,1.59,1.60,1.64,1.61,<a id="btn_316" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,2900.00,**,**,**,**,**,**,**,,,,,
6,C.7A,เจ้าพระยา,เมืองอ่างทอง,อ่างทอง,10.00,0.79,0.80,0.89,1.03,0.99,0.96,1.04,0.93,<a id="btn_318" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,2800.00,**,**,**,**,**,**,**,,,,,
7,C.35,เจ้าพระยา,พระนครศรีอยุธยา,พระนครศรีอยุธยา,4.58,0.58,0.55,0.67,0.51,0.75,0.80,0.84,0.67,<a id="btn_325" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,1179.00,**,**,**,**,**,**,**,,,,,
8,C.36,เจ้าพระยา,บางบาล,พระนครศรีอยุธยา,4.00,0.25,0.25,0.37,0.48,0.47,0.44,0.52,0.40,<a id="btn_326" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,420.00,**,**,**,**,**,**,**,,,,,
9,C.37,เจ้าพระยา,บางบาล,พระนครศรีอยุธยา,3.80,0.31,0.35,0.47,0.57,0.54,0.51,0.57,0.47,<a id="btn_327" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,148.00,**,**,**,**,**,**,**,,,,,
10,C.29A,เจ้าพระยา,บางไทร,พระนครศรีอยุธยา,3.40,0.39,0.20,0.36,0.42,0.46,0.46,0.56,0.41,<a id="btn_323" class="btn btn-primary btn-sm showGraph">กราฟ</a>,18.49,,
,,,,,3500.00,844.00,636.00,650.00,863.00,523.00,852.00,647.00,716.43,,,,
,,,,,ปริมาณน้ำเฉลี่ยรายวัน-ลบ.ม./วิ,59.00,59.00,60.00,60.00,60.00,59.00,59.00,59.43,,,,
11,C.30,เจ้าพระยา,ห้วยคต,อุทัยธานี,108.30,101.45,101.45,101.45,101.45,101.55,101.60,101.45,101.49,<a id="btn_324" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,830.00,*,*,*,*,*,*,*,,,,,
12,Ct.5A,สะแกกรัง,ขาณุวรลักษบุรี,กำแพงเพชร,106.86,104.03,104.07,104.03,104.40,105.08,104.75,104.85,104.46,<a id="btn_339" class="btn btn-primary btn-sm showGraph">กราฟ</a>,19.23,,
,,,,,234.00,8.00,9.00,8.00,28.00,55.00,41.00,45.00,27.71,,,,
13,Ct.4,สะแกกรัง,ลาดยาว,นครสวรรค์,71.00,68.24,68.24,68.24,68.24,68.36,68.91,69.20,68.49,<a id="btn_338" class="btn btn-primary btn-sm showGraph">กราฟ</a>,20.83,,
,,,,,168.00,*,*,*,*,*,23.00,35.00,29.00,,,,
14,Ct.7,สะแกกรัง,แม่เปิน,นครสวรรค์,104.88,101.05,101.05,101.05,101.45,101.05,101.05,101.05,101.11,<a id="btn_340" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,170.00,*,*,*,*,*,*,*,,,,,
15,Ct.9,สะแกกรัง,ลานสัก,อุทัยธานี,127.47,122.64,122.64,122.64,122.67,122.66,122.66,122.66,122.65,<a id="btn_342" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,280.00,*,*,*,*,*,*,*,,,,,
16,Ct.19,สะแกกรัง,เมืองอุทัยธานี,อุทัยธานี,24.35,17.09,17.09,17.09,17.09,17.09,17.09,18.60,17.31,<a id="btn_343" class="btn btn-primary btn-sm showGraph">กราฟ</a>,3.92,,
,,,,,510.00,*,*,*,*,*,*,20.00,20.00,,,,
17,Ct.2A,สะแกกรัง,เมืองอุทัยธานี,อุทัยธานี,21.34,14.10,14.20,14.29,14.51,14.70,14.43,15.08,14.47,<a id="btn_337" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,616.00,*,*,*,*,*,*,*,,,,,
18,S.43,ป่าสัก,ชัยบาดาล,ลพบุรี,51.90,39.00,39.00,39.00,39.00,39.00,39.00,39.50,39.07,<a id="btn_357" class="btn btn-primary btn-sm showGraph">กราฟ</a>,1.22,,
,,,,,980.00,***,***,***,***,***,6.00,12.00,9.00,,,,
19,S.28,ป่าสัก,พัฒนานิคม,ลพบุรี,31.46,16.49,16.48,16.48,16.48,16.48,16.48,16.48,16.48,<a id="btn_354" class="btn btn-primary btn-sm showGraph">กราฟ</a>,0.38,,
,,,,,1300.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,,,,
20,S.9,ป่าสัก,แก่งคอย,สระบุรี,22.56,8.67,8.64,8.64,8.69,8.62,8.60,8.58,8.63,<a id="btn_351" class="btn btn-primary btn-sm showGraph">กราฟ</a>,0.34,,
,,,,,1740.00,10.00,9.00,9.00,11.00,8.00,7.00,6.00,8.57,,,,
