
,,,,,,,รายงานสภาพน้ำท่า ภาคกลาง(ชัยนาท),
,,,,ศูนย์อุทกวิทยาชลประทานภาคกลาง(ชัยนาท) สำนักบริหารจัดการน้ำและอุทกวิทยา กรมชลประทาน,
,,,,,,,วันที่ 17 - 23 กันยายน 2563,

,,,,,,,,สภาพน้ำท่า(วันที่) เวลา 6.00 น.,

ลำดับ,สถานี,ลุ่มน้ำ,อำเภอ,จังหวัด,ระดับตลิ่ง(ม.) | ความจุลำน้ำ(ลบ.ม./วินาที),พฤ. 17 ก.ย.,ศ. 18 ก.ย.,ส. 19 ก.ย.,อา. 20 ก.ย.,จ. 21 ก.ย.,อ. 22 ก.ย.,พ. 23 ก.ย.,เฉลี่ย,กราฟ,ร้อยละของความจุ,แนวโน้ม,
1,P.17,ปิง,บรรพตพิสัย,นครสวรรค์,39.80,34.19,34.18,34.21,34.31,34.80,35.39,35.19,34.61,<a id="btn_347" class="btn btn-primary btn-sm showGraph">กราฟ</a>,8.90,,
,,,,,2990.00,38.00,37.00,40.00,53.00,138.00,343.00,266.00,130.71,,,,
2,N.67,น่าน,ชุมแสง,นครสวรรค์,28.30,20.12,20.14,20.49,21.05,21.26,21.21,21.17,20.78,<a id="btn_345" class="btn btn-primary btn-sm showGraph">กราฟ</a>,23.24,,
,,,,,1579.00,261.00,263.00,295.00,354.00,378.00,372.00,367.00,327.14,,,,
3,C.2,เจ้าพระยา,เมืองนครสวรรค์,นครสวรรค์,26.20,17.63,17.60,17.79,18.16,18.47,19.07,19.17,18.27,<a id="btn_315" class="btn btn-primary btn-sm showGraph">กราฟ</a>,18.91,,
,,,,,3590.00,266.00,259.00,303.00,407.00,484.00,648.00,679.00,435.14,,,,
4,C.13,เจ้าพระยา,สรรพยา,ชัยนาท,ระดับเหนือเขื่อน-ม.,15.23,15.10,15.09,15.29,15.66,16.00,16.34,15.53,<a id="btn_319" class="btn btn-primary btn-sm showGraph">กราฟ</a>,3.38,,
,,,,,16.34,5.25,5.25,5.25,5.25,5.25,5.50,5.84,5.37,,,,
,,,,,2840.00,50.00,50.00,50.00,50.00,50.00,69.00,96.00,59.29,,,,
5,C.3,เจ้าพระยา,เมืองสิงห์บุรี,สิงห์บุรี,13.40,1.67,1.63,1.70,1.80,1.87,2.02,2.17,1.84,<a id="btn_316" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,2900.00,**,**,**,**,**,**,**,,,,,
6,C.7A,เจ้าพระยา,เมืองอ่างทอง,อ่างทอง,10.00,0.98,0.32,0.43,0.94,0.96,0.94,0.99,0.79,<a id="btn_318" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,2800.00,**,**,**,**,**,**,**,,,,,
7,C.35,เจ้าพระยา,พระนครศรีอยุธยา,พระนครศรีอยุธยา,4.58,0.20,0.18,0.33,0.68,0.66,0.64,0.68,0.48,<a id="btn_325" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,1179.00,**,**,**,**,**,**,**,,,,,
8,C.36,เจ้าพระยา,บางบาล,พระนครศรีอยุธยา,4.00,0.17,-0.08,0.03,0.39,0.40,0.37,0.41,0.24,<a id="btn_326" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,420.00,**,**,**,**,**,**,**,,,,,
9,C.37,เจ้าพระยา,บางบาล,พระนครศรีอยุธยา,3.80,0.18,-0.05,0.02,0.42,0.41,0.35,0.41,0.25,<a id="btn_327" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,148.00,**,**,**,**,**,**,**,,,,,
