
,,,,,,,รายงานสภาพน้ำท่า ภาคกลาง(ชัยนาท),
,,,,ศูนย์อุทกวิทยาชลประทานภาคกลาง(ชัยนาท) สำนักบริหารจัดการน้ำและอุทกวิทยา กรมชลประทาน,
,,,,,,,วันที่ 10 - 16 กันยายน 2563,

,,,,,,,,สภาพน้ำท่า(วันที่) เวลา 6.00 น.,

ลำดับ,สถานี,ลุ่มน้ำ,อำเภอ,จังหวัด,ระดับตลิ่ง(ม.) | ความจุลำน้ำ(ลบ.ม./วินาที),พฤ. 10 ก.ย.,ศ. 11 ก.ย.,ส. 12 ก.ย.,อา. 13 ก.ย.,จ. 14 ก.ย.,อ. 15 ก.ย.,พ. 16 ก.ย.,เฉลี่ย,กราฟ,ร้อยละของความจุ,แนวโน้ม,
17,Ct.2A,สะแกกรัง,เมืองอุทัยธานี,อุทัยธานี,21.34,15.68,15.57,15.49,15.43,15.40,15.39,15.38,15.48,<a id="btn_337" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,ระดับน้ำทรงตัว,
,,,,,616.00,*,*,*,*,*,*,*,,,,,
18,S.43,ป่าสัก,ชัยบาดาล,ลพบุรี,51.90,39.34,39.43,39.33,39.04,38.84,38.60,38.81,39.10,<a id="btn_357" class="btn btn-primary btn-sm showGraph">กราฟ</a>,1.43,ระดับน้ำทรงตัว,
,,,,,980.00,22.00,24.00,22.00,17.00,14.00,12.00,14.00,18.63,,,,
19,S.28,ป่าสัก,พัฒนานิคม,ลพบุรี,31.46,17.24,17.22,17.22,17.13,17.12,17.13,17.13,17.17,<a id="btn_354" class="btn btn-primary btn-sm showGraph">กราฟ</a>,1.08,ระดับน้ำทรงตัว,
,,,,,1300.00,16.00,15.00,15.00,14.00,13.00,14.00,14.00,14.43,,,,
20,S.9,ป่าสัก,แก่งคอย,สระบุรี,22.56,8.86,8.83,8.78,8.78,8.75,8.63,8.65,8.75,<a id="btn_351" class="btn btn-primary btn-sm showGraph">กราฟ</a>,0.52,ระดับน้ำทรงตัว,
,,,,,1740.00,17.00,16.00,14.00,14.00,14.00,8.00,9.00,13.14,,,,
21,S.32,ป่าสัก,เมืองสระบุรี,สระบุรี,12.80,7.61,7.55,7.42,7.24,7.07,6.86,6.69,7.21,<a id="btn_313" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,ระดับน้ำทรงตัว,
,,,,,1555.00,***,***,***,***,***,***,***,,,,,
22,S.26,ป่าสัก,ท่าเรือ,พระนครศรีอยุธยา,8.00,0.74,0.33,0.76,0.72,0.70,0.38,0.72,0.62,<a id="btn_353" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,ระดับน้ำทรงตัว,
,,,,,800.00,***,***,***,***,***,***,***,,,,,
23,S.5,ป่าสัก,พระนครศรีอยุธยา,พระนครศรีอยุธยา,4.70,0.53,0.72,0.80,0.77,0.76,0.81,0.74,0.73,<a id="btn_349" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,ระดับน้ำทรงตัว,
,,,,,1400.00,**,**,**,**,**,**,**,,,,,
