
,,,,,,,รายงานสภาพน้ำท่า ภาคกลาง(ชัยนาท),
,,,,ศูนย์อุทกวิทยาชลประทานภาคกลาง(ชัยนาท) สำนักบริหารจัดการน้ำและอุทกวิทยา กรมชลประทาน,
,,,,,,,วันที่ 24 - 30 กันยายน 2563,

,,,,,,,,สภาพน้ำท่า(วันที่) เวลา 6.00 น.,

ลำดับ,สถานี,ลุ่มน้ำ,อำเภอ,จังหวัด,ระดับตลิ่ง(ม.) | ความจุลำน้ำ(ลบ.ม./วินาที),พฤ. 24 ก.ย.,ศ. 25 ก.ย.,ส. 26 ก.ย.,อา. 27 ก.ย.,จ. 28 ก.ย.,อ. 29 ก.ย.,พ. 30 ก.ย.,เฉลี่ย,กราฟ,ร้อยละของความจุ,แนวโน้ม,
1,P.17,ปิง,บรรพตพิสัย,นครสวรรค์,39.80,34.93,34.81,35.01,35.00,34.92,34.83,34.78,34.90,<a id="btn_347" class="btn btn-primary btn-sm showGraph">กราฟ</a>,4.48,,
,,,,,2990.00,176.00,140.00,204.00,200.00,173.00,144.00,134.00,167.29,,,,
2,N.67,น่าน,ชุมแสง,นครสวรรค์,28.30,21.06,21.01,21.29,21.72,21.83,21.78,21.54,21.46,<a id="btn_345" class="btn btn-primary btn-sm showGraph">กราฟ</a>,26.16,,
,,,,,1579.00,355.00,349.00,382.00,437.00,452.00,445.00,413.00,404.71,,,,
3,C.2,เจ้าพระยา,เมืองนครสวรรค์,นครสวรรค์,26.20,19.00,18.83,18.92,19.20,19.21,19.17,19.06,19.06,<a id="btn_315" class="btn btn-primary btn-sm showGraph">กราฟ</a>,17.97,,
,,,,,3590.00,626.00,577.00,603.00,689.00,692.00,679.00,645.00,644.43,,,,
4,C.13,เจ้าพระยา,สรรพยา,ชัยนาท,ระดับเหนือเขื่อน-ม.,16.49,16.42,16.41,16.50,16.50,16.50,16.50,16.47,<a id="btn_319" class="btn btn-primary btn-sm showGraph">กราฟ</a>,7.64,,
,,,,,16.34,5.99,5.92,5.91,6.41,6.72,7.08,6.89,6.42,,,,
,,,,,2840.00,113.00,105.00,104.00,158.00,193.00,243.00,217.00,161.86,,,,
5,C.3,เจ้าพระยา,เมืองสิงห์บุรี,สิงห์บุรี,13.40,2.47,2.51,2.45,2.53,3.06,3.39,3.56,2.85,<a id="btn_316" class="btn btn-primary btn-sm showGraph">กราฟ</a>,9.03,,
,,,,,2900.00,**,**,**,**,**,240.00,262.00,251.00,,,,
6,C.7A,เจ้าพระยา,เมืองอ่างทอง,อ่างทอง,10.00,1.16,1.26,1.08,1.01,1.28,1.43,1.66,1.27,<a id="btn_318" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,2800.00,**,**,**,**,**,**,**,,,,,
